id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
3409,Ebo,0,0,0,0,0,0,0,0,5791.181893,0,0,0,5791.181893,768.7755682,1482.590594,1744.136268,2662.74312,36.81125358
3410,Ebo,0,0,0,0,0,0,0,0,1967.940987,0,0,0,1967.940987,635.8631772,1300.737449,2141.397667,2935.02813,43.17102354
3411,Ebo,0,0,0,0,0,0,0,0,583.2047715,0,0,0,583.2047715,525.5549242,1125.643768,2851.167588,3484.046401,38.54390798
3418,Ebo,0,0,0,0,433.7166799,0,0,0,0,0,0,0,433.7166799,224.594123,142.4660335,9430.491246,9633.685885,28.43780099
3555,Ebo,0,0,0,0,0,0,0,0,501.407773,0,0,0,501.407773,480.8447266,988.9002695,2119.906447,2266.306017,36.7307711
3556,Ebo,0,0,0,0,0,0,0,0,446.9015569,0,0,0,446.9015569,552.2253788,1272.62125,1706.24298,2301.465862,39.03796751
3557,Ebo,0,0,0,0,0,0,0,0,1662.340061,0,0,0,1662.340061,560.6445313,848.3437356,1347.557343,2396.288197,34.9340366
3558,Ebo,0,0,0,0,0,0,0,0,1420.636039,0,0,0,1420.636039,592.2537879,715.1404185,969.5315617,1807.314672,44.12149349
3559,Ebo,0,0,0,0,0,0,0,0,3064.331049,0,0,0,3064.331049,456.3574219,499.1210205,772.2377507,1670.501579,40.35811312
3560,Ebo,0,0,0,0,0,0,0,0,1348.008496,0,0,0,1348.008496,345.8825758,334.3522977,1462.847836,2077.201176,28.74806272
4899,Ndokbou,0,0,0,0,0,0,0,0,0,790.954685,0,0,790.954685,1070.519531,810.2635481,5709.058496,8094.375704,26.16001849
4900,Ndokbou,0,0,0,0,0,0,0,0,0,1247.300925,0,0,1247.300925,984.4640152,109.8104149,5594.365192,7127.459871,23.40079868
4901,Ndokbou,0,0,0,0,0,0,0,0,0,2158.758672,0,0,2158.758672,838.2333984,191.9417172,4612.202209,6171.097989,21.17300314
4902,Ndokbou,0,0,0,0,0,0,0,0,0,588.9128963,0,0,588.9128963,763.2537879,160.5253364,3639.766001,5231.081778,20.40328936
5046,Ndokbou,0,0,0,1517.825231,0,0,0,0,0,0,0,0,1517.825231,927.8907254,9.382295441,4889.212005,10569.73375,21.67251705
5047,Ndokbou,0,0,0,2114.507569,0,0,0,0,0,0,0,0,2114.507569,821.0672348,493.9299406,5577.838811,9903.572614,31.57271332
5048,Ndokbou,0,0,0,1269.267452,0,0,0,0,0,0,0,0,1269.267452,799.0945822,937.1507853,6142.869753,8908.564233,28.94904179
5049,Ndokbou,0,0,0,0,0,0,0,0,0,946.5343419,0,0,946.5343419,879.0606061,726.850652,6512.412077,7914.81414,30.63401587
5050,Ndokbou,0,0,0,31.5070812,0,0,0,0,0,2758.377095,0,0,2789.884176,841.1101928,259.5037649,5512.440329,6922.864223,28.1288701
5051,Ndokbou,0,0,0,0,0,0,0,0,0,643.3795306,0,0,643.3795306,808.8399621,6.67573899,4512.481103,5933.617381,27.12941622
5052,Ndokbou,0,0,0,0,0,0,0,0,0,3883.256554,0,0,3883.256554,840.1478421,599.7364344,3512.545093,4948.694919,26.83906574
5196,Ndokbou,0,0,0,1822.135322,0,0,0,0,0,0,0,0,1822.135322,987.8172348,892.1491085,5085.104482,10859.29782,32.10260352
5197,Ndokbou,0,0,0,5204.890295,0,0,0,0,0,0,0,0,5204.890295,838.8769531,1343.644755,6053.909458,9859.316171,38.01677593
5198,Ndokbou,0,0,0,2332.656606,0,0,0,0,0,481.351014,0,0,2814.00762,629.0662879,372.4871335,6971.27359,8859.338662,26.86390585
5199,Ndokbou,0,0,0,1547.207116,0,0,0,0,0,2007.164823,0,0,3554.371939,679.7636719,249.9760926,6594.595591,7859.366877,31.44546563
5200,Ndokbou,0,0,0,1808.51131,0,0,0,0,0,5132.723175,0,0,6941.234485,669.9962121,573.2786556,5604.646097,6859.403319,34.49972065
5201,Ndokbou,0,0,0,0,0,0,0,0,0,4627.393473,0,0,4627.393473,668.3193359,639.4627684,4614.696603,5859.452198,30.58303517
5202,Ndokbou,0,0,0,0,0,0,0,0,0,4162.754227,0,0,4162.754227,696.499053,780.2648148,3624.74711,4859.521195,26.59437902
5203,Ndokbou,0,0,0,0,0,0,0,0,0,2244.032328,0,0,2244.032328,736.3583984,542.617827,2635.059132,3859.625943,30.0757685
5345,Ndokbou,0,0,0,543.6823061,0,0,0,0,0,0,0,0,543.6823061,765.4232955,1496.27271,4562.389319,11906.63461,29.15537482
